row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,neg_FRN5_N2.mzML Peak area,neg_FRN3_N2.mzML Peak area,neg_FRN2_N2.mzML Peak area,neg_FRN4_N2.mzML Peak area,neg_HFO5_N2.mzML Peak area,neg_HFO2_N2.mzML Peak area,neg_HFO1_N2.mzML Peak area,neg_FRN1_N2.mzML Peak area,neg_HFO4_N2.mzML Peak area,neg_HFO3_N2.mzML Peak area,
35,206.85932468744326,0.024010899,,,,,,,,,,,0,0,0,0,0,0,0,0,0,906.365,
36,239.8517528691829,0.02400864,,,,,,,,,,,0,0,0,0,0,2566.8164,0,0,1498.8647,2458.5303,
37,222.8297766176902,0.024022402,,,,,,,,,,,14181.398,0,14747.847,16687.451,12295.83,27075.756,21115.15,20379.213,10816.254,19076.375,
38,504.108473407663,0.024010899,,,,,,,,,,,0,0,0,0,0,0,0,0,0,3335.6562,
39,519.1450765410814,0.024022788,,,,,,,,,,,0,0,0,0,0,0,13193.502,20702.197,16723.113,0,
40,319.82662365854713,0.024053356,,,,,,,,,,,0,0,0,0,0,1306.9058,0,1219.3431,1923.37,0,
41,488.1340838626649,0.024047244,,,,,,,,,,,0,0,4201.128,0,5204.96,8742.921,0,10559.19,7811.8184,0,
42,517.1483474365014,0.024057139,,,,,,,,,,,15539.196,0,0,0,23150.555,32760.234,0,18322.254,0,21513.855,
43,466.03864613769804,0.02406305,,,,,,,,,,,7595.589,2771.9873,0,4906.0283,8763.687,0,17249.928,4358.3345,9144.831,8442.581,
44,232.76393652821432,0.024092566,,,,,,,,,,,0,0,0,0,4341.9893,0,0,0,0,0,
45,403.9133092976992,0.024077974,,,,,,,,,,,0,0,0,0,0,0,0,946.2064,0,1617.3269,
46,491.13219320177114,0.024129875,,,,,,,,,,,16424.775,0,0,0,15718.67,0,0,0,0,0,
47,520.1481712074299,0.024129875,,,,,,,,,,,3844.6238,0,0,0,1790.3862,0,0,0,0,0,
48,365.93936020683356,0.02415635,,,,,,,,,,,0,1840.0057,0,0,0,0,0,0,0,0,
49,493.1290483285045,0.02414504,,,,,,,,,,,0,0,0,0,0,0,0,27815.102,35814.92,0,
50,474.1588557287393,0.029113038,,,,,,,,,,,0,0,0,0,0,2022.2101,3568.0232,0,1903.3131,0,
51,226.82379311164658,0.030071262,,,,,,,,,,,0,5991.1577,2520.0845,7374.9604,6864.6685,0,0,3000.035,7740.0356,6168.8125,
52,224.82684435956102,0.03139247,,,,,,,,,,,6624.593,16768.271,16021.458,24735.59,21545.29,15271.408,34085.203,27490.184,15246.057,12500.932,
53,241.8488615540328,0.031896543,,,,,,,,,,,837.18945,0,0,0,1687.0012,0,0,0,0,0,
54,468.035614294232,0.035622593,,,,,,,,,,,2906.4543,3657.9004,3861.3643,0,4912.9736,9500.488,12033.446,6909.1885,8454.926,9932.714,
55,339.78627325295867,0.03794359,,,,,,,,,,,0,0,0,0,0,4242.212,5238.4136,1509.2388,0,0,
56,214.87989143927405,0.038549148,,,,,,,,,,,0,0,0,0,0,0,1356748.5,0,0,0,
57,241.89883585038825,0.038549148,,,,,,,,,,,0,0,0,0,0,0,1235343.8,0,0,0,
58,383.7841722665104,0.038549148,,,,,,,,,,,0,0,0,0,0,0,8629.229,0,0,0,
59,463.75545208531,0.038549148,,,,,,,,,,,0,0,0,0,0,0,5814.766,0,0,0,
60,430.06187651317657,0.03874159,,,,,,,,,,,3712.6172,0,12547.63,0,0,11576.208,12269.123,0,0,9207.04,
61,309.86001741495403,0.03895757,,,,,,,,,,,2875.9302,1293.0945,0,0,0,1368.4197,4803.4434,1500.9735,1466.0659,0,
62,213.91650041954858,0.039286852,,,,,,,,,,,31092.654,0,0,0,0,0,10718.977,24905.031,0,21473.508,
63,422.1121005423575,0.0394158,,,,,,,,,,,0,0,0,0,0,2889.0283,0,0,0,0,
64,241.91159122454923,0.039531503,,,,,,,,,,,0,0,7433.047,0,0,0,0,0,0,0,
65,207.9184451577417,0.03957998,,,,,,,,,,,20594.707,0,12957.71,15780.672,0,14178.696,0,22195.082,0,0,
66,216.88368949603327,0.0396259,,,,,,,,,,,0,0,0,0,6843.089,0,0,0,0,0,
67,224.9086178742107,0.039646104,,,,,,,,,,,22379.527,12826.092,19900.02,0,0,0,0,0,0,0,
68,220.85293635776145,0.039747152,,,,,,,,,,,0,0,0,0,0,0,0,0,3382.5225,0,
69,249.84868375944956,0.04142842,,,,,,,,,,,1855.2314,3014.631,0,3068.9626,3526.739,5581.034,8749.384,5661.2363,3838.579,5730.592,
70,264.91464623885383,0.041792072,,,,,,,,,,,0,0,3020.248,0,4780.2324,4461.564,3117.2388,0,0,4176.8735,
71,495.1255540064957,0.04194541,,,,,,,,,,,5787.529,12637.702,0,0,13416.04,6629.6875,0,0,5232.4956,0,
72,274.89110991340135,0.043374795,,,,,,,,,,,0,4064.4146,0,0,1257.6416,0,0,0,0,2002.2488,
73,240.9108457332493,0.043419376,,,,,,,,,,,0,15182.781,0,17729.928,0,12815.473,0,0,0,0,
74,242.89963054095747,0.043525368,,,,,,,,,,,21846.346,0,0,0,0,0,16682.594,29967.004,0,0,
75,214.89061575791197,0.044096958,,,,,,,,,,,11963.03,0,0,0,0,0,0,11643.165,7557.6216,0,
76,257.90096597590536,0.045283213,,,,,,,,,,,0,0,0,12177.395,0,8687.382,0,0,0,0,
77,341.78334490861243,0.045308538,,,,,,,,,,,0,2711.887,1775.2905,0,0,0,8075.4136,0,5713.5977,0,
78,239.90351303691065,0.045430496,,,,,,,,,,,0,0,0,0,0,0,72030.41,118735.57,0,0,
79,221.80034707945867,0.045603305,,,,,,,,,,,13631.771,0,17201.123,20293.156,11818.975,75973.85,228598.27,13967.439,21170.713,0,
80,405.1218013556331,0.04611085,,,,,,,,,,,5809.9126,4782.416,0,6048.736,4871.1445,0,3033.083,3570.5024,0,0,
81,255.96341907683006,0.048200633,,,,,,,,,,,0,0,0,0,0,0,14913.142,31592.115,26295.39,0,
82,223.79817504639917,0.04968488,,,,,,,,,,,0,30776.143,23619.74,17269.672,34025.79,104405.54,334601.94,22669.148,38583.23,51487.9,
83,225.79585316503778,0.05072322,,,,,,,,,,,15637.953,0,0,8760.688,19640.53,54913.832,175072.39,9218.303,0,0,
84,228.94434355871186,0.051182494,,,,,,,,,,,0,0,0,0,0,0,52298.797,0,0,0,
85,241.90879972141113,0.051182494,,,,,,,,,,,0,0,0,0,0,0,2560.4883,0,0,0,
86,201.8019552134632,0.051584262,,,,,,,,,,,0,15216.765,0,13937.967,13409.393,14001.477,27950.535,6258.5225,10850.155,17241.016,
87,222.84969343122646,0.051837835,,,,,,,,,,,0,0,2759.257,0,0,0,0,0,0,0,
88,217.87741571618534,0.052048165,,,,,,,,,,,0,0,7555.919,11398.757,0,0,0,9521.561,0,6563.3633,
89,465.7523462729895,0.052228298,,,,,,,,,,,0,0,0,0,0,1810.7592,8351.019,0,0,0,
90,230.94136818016642,0.052578557,,,,,,,,,,,25682.846,0,0,25224.547,0,0,10539.412,0,21531.695,0,
91,204.91892613138202,0.05369755,,,,,,,,,,,0,2928.3364,0,0,0,0,0,0,2647.5269,0,
92,203.9224530712473,0.053740896,,,,,,,,,,,0,0,0,0,0,0,0,0,66089.34,0,
93,216.8766957178696,0.055434328,,,,,,,,,,,766280.9,697078.5,667279.75,686476.3,0,0,422247.5,0,0,0,
94,292.896259525188,0.057968628,,,,,,,,,,,0,5734.01,5776.326,0,0,0,0,0,5264.9453,0,
95,247.87201532656374,0.058381483,,,,,,,,,,,3786.2205,0,0,0,3570.9321,4208.2124,0,0,0,0,
96,218.8811825705977,0.058498967,,,,,,,,,,,0,0,0,4638.535,2778.4695,0,0,4100.5503,0,0,
97,212.88455232709873,0.059037473,,,,,,,,,,,0,0,0,140702.55,0,0,74887.45,0,0,0,
98,203.86876982298872,0.06592219,,,,,,,,,,,0,0,0,0,0,0,31463.426,0,0,0,
99,221.86190718809786,0.06592219,,,,,,,,,,,0,0,0,0,0,0,26291.775,0,0,0,
100,229.790653052558,0.06592219,,,,,,,,,,,0,0,0,0,0,0,2949.4453,0,0,0,
101,237.85680185847303,0.06592219,,,,,,,,,,,0,0,0,0,0,0,30164.887,0,0,0,
102,250.81710151612592,0.06592219,,,,,,,,,,,0,0,0,0,0,0,9294.935,0,0,0,
103,253.86102110104085,0.06592219,,,,,,,,,,,0,0,0,0,0,0,8403.261,0,0,0,
104,303.7652177088333,0.06592219,,,,,,,,,,,0,0,0,0,0,0,23943.586,0,0,0,
105,337.79122400644053,0.06592219,,,,,,,,,,,0,0,0,0,0,0,805.21606,0,0,0,
106,212.83470670994961,0.06760106,,,,,,,,,,,8072.1475,9296.719,6367.0127,4290.5967,9683.676,42782.234,175344.17,6168.58,5942.064,18876.883,
107,475.21758652942697,0.06880081,,,,,,,,,,,0,1258.705,0,0,0,0,0,3174.4197,0,0,
108,237.8959210057421,0.07166465,,,,,,,,,,,2460.443,3726.4087,4762.324,0,0,0,0,0,3225.2935,0,
109,265.8771061361993,0.072800666,,,,,,,,,,,0,2751.0151,0,1733.4792,0,3644.166,0,0,0,0,
110,205.86694135154687,0.0728804,,,,,,,,,,,0,0,0,0,0,4255.6553,27390.342,0,0,0,
111,312.73089753525517,0.0728804,,,,,,,,,,,0,0,0,0,0,5789.975,56187.945,0,0,0,
112,201.92553105702922,0.07408678,,,,,,,,,,,0,0,0,0,0,0,39634.7,0,102299.555,0,
113,205.9194468172128,0.07565896,,,,,,,,,,,0,8120.0825,0,7836.478,6205.679,0,5980.5327,10970.372,11924.499,10826.824,
114,227.79344837888448,0.07578435,,,,,,,,,,,0,0,0,0,0,13115.368,41448.62,0,0,5011.0703,
115,216.83025661344246,0.07632465,,,,,,,,,,,0,0,0,0,0,9810.203,76292.125,0,0,6038.088,
116,219.86370250008895,0.07985336,,,,,,,,,,,0,0,0,0,0,0,26275.693,0,0,0,
117,248.81929764247835,0.07985336,,,,,,,,,,,0,0,0,0,0,0,8275.341,0,0,0,
118,252.81490894493777,0.07985336,,,,,,,,,,,0,0,0,0,0,0,3827.394,0,0,0,
119,255.85892994779277,0.07985336,,,,,,,,,,,0,0,0,0,0,0,6725.199,0,0,0,
120,276.7719230580911,0.07985336,,,,,,,,,,,0,0,0,0,0,0,10840.266,0,0,0,
121,278.7699656621084,0.07985336,,,,,,,,,,,0,0,0,0,0,0,17288.229,0,0,0,
122,280.7678629643851,0.07985336,,,,,,,,,,,0,0,0,0,0,0,11344.9,0,0,0,
123,301.76720838130313,0.07985336,,,,,,,,,,,0,0,0,0,0,0,14393.388,0,0,0,
124,305.76304709217436,0.07985336,,,,,,,,,,,0,0,0,0,0,0,15389.153,0,0,0,
125,310.7330185759558,0.07985336,,,,,,,,,,,0,0,0,0,0,0,28189.873,0,0,0,
126,314.728671190734,0.07985336,,,,,,,,,,,0,0,0,0,0,0,43962.64,0,0,0,
127,316.72608268321534,0.07985336,,,,,,,,,,,0,0,0,0,0,0,14398.22,0,0,0,
128,320.7616659052925,0.07985336,,,,,,,,,,,0,0,0,0,0,0,10294.855,0,0,0,
129,322.75967754432855,0.07985336,,,,,,,,,,,0,0,0,0,0,0,15331.099,0,0,0,
130,324.75756641490767,0.07985336,,,,,,,,,,,0,0,0,0,0,0,8836.529,0,0,0,
131,214.83269679211696,0.08028757,,,,,,,,,,,6833.833,4875.2744,10752.135,0,0,46688.336,208369.55,5599.4697,9086.216,20892.162,
132,235.8586645932254,0.08067001,,,,,,,,,,,0,0,0,0,0,4016.5576,34747.54,0,0,0,
133,213.83791551088657,0.09540546,,,,,,,,,,,0,0,0,0,0,0,3686.9941,0,0,0,
134,218.82800394554985,0.09540546,,,,,,,,,,,0,0,0,0,0,0,11053.914,0,0,0,
135,224.86163164233517,0.09540546,,,,,,,,,,,0,0,0,0,0,0,4102.0415,0,0,0,
136,230.8273570892039,0.09540546,,,,,,,,,,,0,0,0,0,0,0,6339.09,0,0,0,
137,233.82698395906243,0.09540546,,,,,,,,,,,0,0,0,0,0,0,4873.579,0,0,0,
138,241.85203613691584,0.09540546,,,,,,,,,,,0,0,0,0,0,0,9841.901,0,0,0,
139,380.79064978065855,0.09540546,,,,,,,,,,,0,0,0,0,0,0,2759.1333,0,0,0,
140,474.82594110409485,0.09540546,,,,,,,,,,,0,0,0,0,0,0,7357.7734,0,0,0,
141,299.81922836253455,0.09750819,,,,,,,,,,,0,0,2104.9214,0,0,0,0,1040.9258,0,0,
142,399.9190184749707,0.103532195,,,,,,,,,,,0,0,0,0,0,0,6783.795,0,0,5534.9634,
143,518.1504651779235,0.11275564,,,,,,,,,,,0,0,4007.0862,0,0,0,8991.278,0,2848.7876,2502.6536,
144,315.83318793388963,0.11809183,,,,,,,,,,,17184.516,0,8979.107,0,0,0,0,0,8630.053,0,
145,282.84093214797895,0.12057191,,,,,,,,,,,8235.517,0,0,0,0,0,0,6758.107,0,0,
146,214.83259096824716,0.12092057,,,,,,,,,,,0,5291.65,0,0,0,0,0,6332.9277,0,0,
147,284.83799599995865,0.123019874,,,,,,,,,,,0,0,4841.1577,0,0,0,0,5275.267,6589.044,0,
148,496.1208210793607,0.12380731,,,,,,,,,,,0,4215.8794,0,0,0,3345.9412,4429.2485,0,5355.9053,0,
149,508.03921669319936,0.12443757,,,,,,,,,,,2325.6948,0,5135.3926,0,0,0,5494.2954,4102.0635,0,5160.6562,
150,223.8393715150928,0.12450644,,,,,,,,,,,0,0,1637.6157,1750.4619,1529.2231,0,3996.9583,0,1897.1754,0,
151,432.05889773652314,0.124580346,,,,,,,,,,,0,0,0,0,1891.1282,0,4700.3936,3962.978,2800.1155,3245.4446,
152,248.89314598669822,0.12547217,,,,,,,,,,,0,0,0,0,0,0,3937.872,0,0,0,
153,319.8265899266231,0.12547217,,,,,,,,,,,0,0,0,0,0,0,2712.8093,0,0,0,
154,415.76770091756293,0.12547217,,,,,,,,,,,0,0,0,0,0,0,3715.7314,0,0,0,
155,430.0618034950912,0.12547217,,,,,,,,,,,0,0,0,0,0,0,6802.712,0,0,0,
156,552.1373505220528,0.12547217,,,,,,,,,,,0,0,0,0,0,0,8418.249,0,0,0,
157,510.0361142066026,0.12692183,,,,,,,,,,,2149.2405,0,0,0,0,0,5704.775,0,0,0,
158,260.81577174211884,0.1277228,,,,,,,,,,,0,0,2910.9875,0,0,1799.3958,0,0,0,0,
159,264.9146856126957,0.1281421,,,,,,,,,,,0,0,2615.3372,0,0,0,0,0,0,0,
160,256.8217623174609,0.1281585,,,,,,,,,,,0,0,7460.315,0,0,0,0,0,8625.378,4791.9736,
161,221.8423034425973,0.12837148,,,,,,,,,,,16758.414,0,0,0,0,0,0,0,0,0,
162,317.8299484910775,0.13162339,,,,,,,,,,,4899.573,0,8966.03,0,0,0,6688.6206,0,5849.612,0,
163,417.7644346553301,0.13165757,,,,,,,,,,,0,0,0,0,3483.583,4647.413,0,2535.4302,3030.6616,0,
164,363.9422802900662,0.13737756,,,,,,,,,,,0,0,0,0,0,0,3750.3997,0,3061.4639,2547.8179,
165,365.9390393982317,0.13746506,,,,,,,,,,,3487.9558,3803.3591,0,0,0,0,0,0,0,2802.425,
166,392.2917194221977,0.14100967,,,,,,,,,,,0,0,0,0,0,0,2655.694,0,0,0,
167,488.13422436409826,0.14203928,,,,,,,,,,,0,0,5263.484,0,3357.5227,0,0,0,0,0,
168,253.826503375242,0.1424167,,,,,,,,,,,0,0,0,4665.9976,0,0,5414.775,0,0,0,
169,546.012896898188,0.14361443,,,,,,,,,,,3944.5383,0,0,0,0,0,0,2108.3538,2687.5024,0,
170,219.84522465722583,0.14367546,,,,,,,,,,,0,0,13594.572,0,0,0,0,0,0,0,
171,258.81879550100155,0.14372437,,,,,,,,,,,0,0,0,0,0,0,0,0,6556.108,0,
172,212.8346843767763,0.14379673,,,,,,,,,,,0,0,0,4058.3035,0,0,0,0,0,0,
173,544.0159093334026,0.14518218,,,,,,,,,,,3313.85,0,2520.4753,2909.982,0,0,2820.9324,0,2029.9176,0,
174,261.8128555484923,0.14892036,,,,,,,,,,,0,0,3987.5522,5225.6797,0,0,0,0,5416.1553,0,
175,226.823734568997,0.14937189,,,,,,,,,,,0,0,0,0,0,0,6939.861,0,0,2186.2876,
176,217.87742786402146,0.14953598,,,,,,,,,,,0,0,7933.042,0,0,0,0,0,0,4864.9526,
177,463.75563577191946,0.14971174,,,,,,,,,,,0,0,0,0,0,6490.478,3261.6929,0,0,0,
178,773.7563258799654,0.15035105,,,,,,,,,,,0,0,0,0,0,0,0,0,3871.6064,2456.9526,
179,232.7637489076181,0.15083271,,,,,,,,,,,1220.9487,1800.3921,0,0,0,0,0,0,0,0,
180,249.84881540485026,0.15107162,,,,,,,,,,,4307.1733,2712.0073,0,3024.1921,0,0,0,0,3677.268,0,
181,230.94142468428785,0.15576605,,,,,,,,,,,0,0,0,0,0,0,4794.0444,0,0,0,
182,458.8521821469971,0.1574966,,,,,,,,,,,0,8200.688,8890.33,0,11619.39,4726.641,6944.0576,6788.156,7192.7573,0,
183,466.03864174356465,0.15759411,,,,,,,,,,,2347.3042,5099.193,0,4371.1646,0,0,0,4354.7583,0,0,
184,224.90872826054215,0.15841381,,,,,,,,,,,0,0,0,0,0,3300.7944,0,0,0,0,
185,230.76606283784943,0.15841381,,,,,,,,,,,0,0,0,0,0,2156.396,0,0,0,0,
186,381.7877333777749,0.15841381,,,,,,,,,,,0,0,0,0,0,47525.465,0,0,0,0,
187,465.75215673759,0.15841381,,,,,,,,,,,0,0,0,0,0,2376.5576,0,0,0,0,
188,383.78422032943314,0.15851797,,,,,,,,,,,2698.509,4255.5938,0,0,5270.6553,10090.005,0,3610.427,0,6363.3315,
189,255.96352021153555,0.1592275,,,,,,,,,,,0,0,8800.27,0,0,0,0,0,0,0,
190,382.7876793260674,0.163716,,,,,,,,,,,0,0,0,0,0,2608.2197,2590.3245,0,0,0,
191,532.1298985145747,0.16515595,,,,,,,,,,,2253.7349,0,0,3016.8525,0,0,0,0,0,0,
192,341.7832096218461,0.16594172,,,,,,,,,,,2688.2659,0,0,0,0,8906.66,0,0,0,0,
193,543.8298737311939,0.16843933,,,,,,,,,,,2940.9988,4646.174,0,6201.2217,0,6949.956,8680.712,4296.972,3630.63,2345.8782,
194,205.91945745035002,0.1690182,,,,,,,,,,,0,0,0,0,0,0,2699.921,0,0,0,
195,491.80447264766894,0.1690182,,,,,,,,,,,0,0,0,0,0,0,768.9607,0,0,0,
196,389.8484782390294,0.17626633,,,,,,,,,,,0,0,2912.3113,0,0,0,7436.5933,1580.66,1854.2808,0,
197,373.87447743385496,0.17666352,,,,,,,,,,,0,11660.232,0,0,0,16598.852,16132.938,0,0,0,
198,474.826094465303,0.17739826,,,,,,,,,,,0,3630.2295,0,0,1862.9585,0,0,2730.9568,0,1858.4263,
199,468.0356577545361,0.17865673,,,,,,,,,,,2280.4817,3232.4036,4851.865,0,0,13241.81,3743.2517,0,0,0,
200,539.9165294291023,0.18442367,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1942.343,
201,571.1054494826808,0.1863674,,,,,,,,,,,2548.1538,0,0,0,0,0,0,0,0,0,
202,339.78638558219956,0.18762732,,,,,,,,,,,0,0,1824.5789,0,7209.601,9654.842,0,3500.961,0,2195.9849,
203,401.9149288133684,0.19408295,,,,,,,,,,,5680.22,0,3922.4653,0,0,0,0,0,0,0,
204,628.8071940214817,0.1991161,,,,,,,,,,,0,0,0,0,0,0,2591.6772,0,0,0,
205,751.7654941050183,0.20073064,,,,,,,,,,,0,0,0,0,0,4409.2974,0,0,0,0,
206,452.83489336132476,0.20157173,,,,,,,,,,,0,0,0,1688.7042,0,0,0,0,0,0,
207,379.7911456684271,0.2026499,,,,,,,,,,,14056.773,0,0,0,0,25801.752,0,0,32649.26,0,
208,465.7523426445003,0.21552123,,,,,,,,,,,0,0,0,0,0,3195.81,1650.1001,0,0,0,
209,927.735756618469,0.2157717,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1156.04,
210,474.1592281274409,0.21631183,,,,,,,,,,,0,0,0,0,0,1309.921,0,0,0,0,
211,688.7788545764412,0.21699496,,,,,,,,,,,0,0,0,0,6209.331,0,0,0,0,0,
212,257.9010397503062,0.21737535,,,,,,,,,,,0,1171.6678,0,0,0,0,0,0,0,0,
213,708.7724277107575,0.21737535,,,,,,,,,,,0,2160.868,0,0,0,0,0,0,0,0,
214,836.7421779861605,0.21813974,,,,,,,,,,,0,0,0,4851.469,0,0,0,0,1973.3821,0,
215,242.89948095812457,0.21874641,,,,,,,,,,,5706.4,1324.6595,0,0,0,0,0,0,0,0,
216,415.7678078706775,0.22108342,,,,,,,,,,,0,0,0,0,0,4266.8545,3308.8032,4510.9526,0,0,
217,380.79083554140954,0.22140336,,,,,,,,,,,0,0,0,3044.6816,2240.9287,0,5961.571,0,3338.6216,0,
218,417.76456101161176,0.23444736,,,,,,,,,,,1103.9363,4991.9653,4953.5537,0,4756.461,5340.513,7582.5703,0,0,8835.734,
219,201.8019402601041,0.24076724,,,,,,,,,,,9435.767,18847.723,9805.002,14707.606,15122.854,9806.907,0,9475.988,6660.441,18358.932,
220,382.7877112483422,0.24348177,,,,,,,,,,,0,0,2589.6487,1899.0802,2964.064,0,3794.5828,0,0,0,
221,520.1486719087986,0.24546191,,,,,,,,,,,0,0,0,0,0,0,2608.378,0,0,0,
222,222.8420685563686,0.24642158,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1740.3313,
223,341.7834134927071,0.24707863,,,,,,,,,,,0,0,0,0,0,5611.9565,0,0,0,0,
224,405.12166606366753,0.24707863,,,,,,,,,,,0,0,0,0,0,968.0266,0,0,0,0,
225,506.1059571328509,0.24707863,,,,,,,,,,,0,0,0,0,0,3014.5286,0,0,0,0,
226,526.0052791665341,0.24707863,,,,,,,,,,,0,0,0,0,0,3979.228,0,0,0,0,
227,735.7914175770486,0.24707863,,,,,,,,,,,0,0,0,0,0,3609.5334,0,0,0,0,
228,544.0157336434762,0.24777032,,,,,,,,,,,0,0,0,0,0,0,0,5445.1323,0,0,
229,234.85057429283765,0.25169185,,,,,,,,,,,0,2041.0356,0,0,0,0,3584.6746,0,0,2963.3813,
230,820.7688751824529,0.25357208,,,,,,,,,,,0,0,2147.3901,0,0,0,0,2579.382,898.65674,0,
231,521.1423315910497,0.25385165,,,,,,,,,,,0,0,5848.604,0,0,3763.7307,0,2493.972,2832.1658,2051.2305,
232,444.8625076295544,0.2560513,,,,,,,,,,,0,0,0,2010.1997,0,0,0,0,1803.6798,0,
233,224.9086204994372,0.2591467,,,,,,,,,,,3519.0234,0,3962.3904,2112.809,2884.8284,0,0,0,0,0,
234,786.4457095785449,0.26032057,,,,,,,,,,,0,1856.411,2081.0002,0,0,0,0,3795.0706,4846.997,8208.277,
235,381.78788170639785,0.26073423,,,,,,,,,,,17060.727,27637.998,33612.566,17460.713,32534.705,0,0,19754.021,0,0,
236,504.1087594338449,0.2610036,,,,,,,,,,,0,0,0,0,0,0,2873.4248,0,0,0,
237,383.7844410909723,0.2612182,,,,,,,,,,,5576.935,7697.5063,15576.231,9430.198,4653.07,7051.5225,5525.3936,6196.962,20704.826,4885.7856,
238,577.1594121589803,0.26195505,,,,,,,,,,,0,0,0,0,0,0,0,0,0,2217.7197,
239,341.7832452016874,0.26230454,,,,,,,,,,,0,0,0,3352.327,8271.485,4184.768,11269.332,3751.1611,8203.274,0,
240,415.7679075744669,0.26264313,,,,,,,,,,,0,0,0,0,0,2318.391,0,0,0,0,
241,508.0391267188777,0.26300228,,,,,,,,,,,14793.733,13871.6045,10655.911,0,12516.499,19022.482,15253.423,15678.541,12817.902,10518.931,
