row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,pos_FRN3_N2.mzML Peak area,pos_FRN1_N2.mzML Peak area,pos_HFO1_N2.mzML Peak area,pos_FRN5_N2.mzML Peak area,pos_FRN2_N2.mzML Peak area,pos_FRN4_N2.mzML Peak area,pos_HFO2_N2.mzML Peak area,pos_HFO5_N2.mzML Peak area,pos_HFO3_N2.mzML Peak area,pos_HFO4_N2.mzML Peak area,
15,664.7460140277333,0.05179085,,,,,,,,,,,974.6094,0,0,0,0,0,0,0,0,0,
16,766.2338918887127,0.06538175,,,,,,,,,,,0,0,0,0,0,0,1388.1217,0,0,0,
17,793.7510511789279,0.06538175,,,,,,,,,,,0,0,0,0,0,0,2042.9811,0,0,0,
18,411.8816402115933,0.0670496,,,,,,,,,,,0,0,0,0,0,918.9983,0,0,0,0,
19,454.80410517069964,0.0670496,,,,,,,,,,,0,0,0,0,0,800.2628,0,0,0,0,
20,635.8248805288446,0.06713148,,,,,,,,,,,0,0,0,0,0,0,0,1401.1493,0,0,
21,292.89460586209725,0.06717298,,,,,,,,,,,0,0,0,1862.5927,0,0,0,0,0,0,
22,675.7916282242743,0.06717298,,,,,,,,,,,0,0,0,1432.6875,0,0,0,0,0,0,
23,504.8318306454819,0.06730345,,,,,,,,,,,2570.2354,0,0,0,0,0,0,0,0,0,
24,729.7867084909301,0.08087976,,,,,,,,,,,0,0,0,0,0,0,2414.9883,0,0,0,
25,849.5372941281871,0.08264318,,,,,,,,,,,0,462.97403,0,0,0,0,0,0,0,0,
26,592.811307809164,0.08292699,,,,,,,,,,,0,0,0,1165.5967,1146.0419,0,0,0,0,0,
27,579.7688717108487,0.087957524,,,,,,,,,,,0,0,0,2376.7058,2308.2249,2292.022,0,0,0,0,
28,244.26362891850047,0.08991665,,,,,,,,,,,0,0,916.66956,1035.3954,0,0,0,0,0,0,
29,523.8278166323976,0.090329766,,,,,,,,,,,0,1128.1301,0,0,0,0,0,0,0,1389.9225,
30,550.8472043416382,0.09065625,,,,,,,,,,,0,0,0,0,3076.9844,0,0,3122.1787,0,0,
31,204.14967172350708,0.0963756,,,,,,,,,,,0,0,0,0,0,0,1457.0289,0,0,0,
32,235.04939138419766,0.0963756,,,,,,,,,,,0,0,0,0,0,0,1550.4258,0,0,0,
33,258.1964682566215,0.0963756,,,,,,,,,,,0,0,0,0,0,0,3244.7192,0,0,0,
34,301.21951304096757,0.0963756,,,,,,,,,,,0,0,0,0,0,0,2146.1216,0,0,0,
35,762.1475554711599,0.097128965,,,,,,,,,,,0,0,976.62555,0,0,0,0,0,0,0,
36,329.91040678005334,0.09811845,,,,,,,,,,,0,0,0,0,0,311.42578,0,0,0,0,
37,247.88479608138687,0.09824264,,,,,,,,,,,0,1702.376,0,0,0,680.7463,0,0,0,1919.6837,
38,374.3081629885398,0.0982335,,,,,,,,,,,0,0,0,462.62845,0,0,0,0,0,0,
39,380.8718527292637,0.0982335,,,,,,,,,,,0,0,0,1078.1377,0,0,0,0,0,0,
40,359.04421503934316,0.09832481,,,,,,,,,,,0,0,0,0,683.3956,0,0,0,0,0,
41,469.76941362893393,0.0983425,,,,,,,,,,,1623.5707,1347.6296,0,0,0,1357.6195,0,0,0,0,
42,222.02246038388972,0.11199638,,,,,,,,,,,0,0,0,0,0,0,2147.4211,0,0,0,
43,360.2641429850334,0.11199638,,,,,,,,,,,0,0,0,0,0,0,4679.3306,0,0,0,
44,392.3190869691792,0.11199638,,,,,,,,,,,0,0,0,0,0,0,4894.671,0,0,0,
45,406.33467870693926,0.11199638,,,,,,,,,,,0,0,0,0,0,0,1352.3538,0,0,0,
46,840.187893947372,0.11199638,,,,,,,,,,,0,0,0,0,0,0,785.67834,0,0,0,
47,248.8969665947912,0.11264348,,,,,,,,,,,0,0,509.71515,0,0,0,0,0,0,0,
48,376.3241783681302,0.11300353,,,,,,,,,,,0,0,0,0,0,0,16658.232,6731.5166,0,0,
49,206.90848713778456,0.11322143,,,,,,,,,,,0,0,0,0,0,0,0,0,319.9925,0,
50,256.1178093499315,0.11401068,,,,,,,,,,,0,0,0,0,0,0,0,518.3815,0,0,
51,481.8434066412681,0.11401068,,,,,,,,,,,0,0,0,0,0,0,0,1957.5898,0,0,
52,454.8040167888282,0.12422224,,,,,,,,,,,0,0,0,660.8086,0,649.60504,0,605.27734,0,0,
53,240.85388930624086,0.127509,,,,,,,,,,,0,0,0,0,0,0,3853.3523,0,0,0,
54,724.7881797207042,0.127509,,,,,,,,,,,0,0,0,0,0,0,1886.8005,0,0,0,
55,984.2892735618902,0.127509,,,,,,,,,,,0,0,0,0,0,0,1442.5671,0,0,0,
56,903.9055023055647,0.12814768,,,,,,,,,,,0,0,921.6344,0,0,0,0,0,0,0,
57,817.7685609445989,0.12868388,,,,,,,,,,,0,0,0,0,0,0,0,0,485.86212,0,
58,563.7946888483166,0.1289184,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1830.5928,
59,220.06708398918147,0.12943313,,,,,,,,,,,0,0,0,0,0,529.1417,0,0,0,0,
60,550.8467616861396,0.12953772,,,,,,,,,,,0,0,0,0,0,0,0,2397.4783,0,0,
61,342.87813038940453,0.12955855,,,,,,,,,,,0,0,0,546.4012,0,0,0,0,0,0,
62,472.11498384299927,0.12955855,,,,,,,,,,,0,0,0,804.5438,0,0,0,0,0,0,
63,565.7921771142397,0.12957685,,,,,,,,,,,1538.0718,0,0,1015.7836,0,2189.5955,0,0,0,0,
64,361.8982762367164,0.12968735,,,,,,,,,,,0,0,0,0,4914.141,0,0,0,0,0,
65,691.7652504704997,0.1296879,,,,,,,,,,,906.707,1627.3992,0,0,0,0,0,0,0,0,
66,384.2400748320354,0.12973885,,,,,,,,,,,608.72577,0,0,0,0,0,0,0,0,0,
67,319.3037622243694,0.1367948,,,,,,,,,,,0,2221.5889,0,0,0,0,0,0,1963.0935,0,
68,326.9037375292691,0.1450169,,,,,,,,,,,0,0,0,0,0,0,0,1378.1157,0,0,
69,507.83361245706345,0.1450169,,,,,,,,,,,0,0,0,0,0,0,0,1411.3862,0,0,
70,465.86916667653804,0.14505571,,,,,,,,,,,0,2835.9211,0,940.4184,3464.48,0,0,1756.8872,0,0,
71,367.8288115162659,0.14508976,,,,,,,,,,,0,0,0,2531.128,0,0,0,0,0,0,
72,520.805769195511,0.1450875,,,,,,,,,,,0,0,0,1612.8302,1502.5509,1540.6298,0,1433.996,0,0,
73,435.8278386370075,0.14874071,,,,,,,,,,,0,2126.1475,0,4316.8003,4164.682,0,0,0,1694.2443,0,
74,284.96828902535583,0.14890142,,,,,,,,,,,0,422.36298,0,617.3045,1700.874,1954.1674,0,0,0,0,
75,622.7613543306401,0.1503265,,,,,,,,,,,0,0,0,1456.7924,1867.1842,0,0,919.79987,0,0,
76,617.8330415707526,0.1528444,,,,,,,,,,,0,510.88943,0,0,0,926.166,0,0,0,0,
77,242.16510897447253,0.1569611,,,,,,,,,,,0,0,0,0,0,0,10958.893,0,0,0,
78,270.07338649333224,0.1569611,,,,,,,,,,,0,0,0,0,0,0,3872.4624,0,0,0,
79,260.9318681085168,0.15991846,,,,,,,,,,,0,0,0,0,0,0,0,0,0,689.5304,
80,523.8276676738386,0.15991846,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1741.7534,
81,521.8101303969942,0.16054405,,,,,,,,,,,0,0,0,0,0,0,0,28031.383,0,0,
82,523.8079878544147,0.16061687,,,,,,,,,,,0,0,0,3588.7803,0,0,0,0,0,0,
83,608.7851923037913,0.16061687,,,,,,,,,,,0,0,0,2657.2524,0,0,0,0,0,0,
84,581.7657868150482,0.16072088,,,,,,,,,,,0,0,0,666.59155,680.75586,0,0,0,0,0,
85,244.09378763164943,0.17252146,,,,,,,,,,,0,0,0,0,0,0,2506.8992,0,0,0,
86,381.0262022147808,0.17252146,,,,,,,,,,,0,0,0,0,0,0,660.7769,0,0,0,
87,536.7769156823089,0.17634356,,,,,,,,,,,2147.4683,0,0,692.3884,1499.9802,0,0,0,0,0,
88,332.86211205376156,0.18157943,,,,,,,,,,,1462.6368,1625.6537,0,0,1225.3876,0,0,0,0,0,
89,411.8814420728743,0.18385282,,,,,,,,,,,0,391.93256,0,0,0,469.78714,0,0,0,0,
90,445.99762829465664,0.18416885,,,,,,,,,,,0,0,0,2343.779,666.42505,0,0,0,0,0,
91,405.24863413194305,0.19721523,,,,,,,,,,,0,0,0,0,0,0,4048.455,0,823.0899,0,
92,350.8497432977716,0.199601,,,,,,,,,,,0,1631.8108,0,0,0,0,0,3792.569,0,0,
93,247.88476626019238,0.20219481,,,,,,,,,,,739.43494,1361.6034,0,0,0,533.82416,0,0,0,0,
94,566.8209745685291,0.20338798,,,,,,,,,,,0,0,0,0,1123.0447,1987.4722,0,1952.0381,0,2930.3818,
95,292.89455899842847,0.20352435,,,,,,,,,,,1571.9219,0,0,0,1606.4806,749.54614,0,2766.353,0,0,
96,203.08487999323805,0.20354661,,,,,,,,,,,0,0,0,0,0,0,2231.5518,0,0,0,
97,766.1423245278743,0.20538744,,,,,,,,,,,0,0,2464.834,0,0,0,0,0,0,0,
98,227.91618891430645,0.2072288,,,,,,,,,,,0,338.84692,0,0,0,0,0,0,0,0,
99,581.765879066315,0.20761567,,,,,,,,,,,0,0,0,753.9212,1100.2494,0,0,0,0,0,
100,465.86931592632834,0.21528882,,,,,,,,,,,0,0,0,1334.1074,0,0,0,2435.2163,0,0,
101,504.8320175756339,0.21781139,,,,,,,,,,,2502.1956,0,0,1474.1761,734.7966,2943.4507,0,2236.2083,0,1000.1286,
102,271.1994229835007,0.21904238,,,,,,,,,,,0,0,0,0,0,0,1088.2505,0,0,0,
103,440.28578665770004,0.21904238,,,,,,,,,,,0,0,0,0,0,0,1210.9176,0,0,0,
104,497.8171793837854,0.2224519,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1525.1477,
105,284.9682941549746,0.22276834,,,,,,,,,,,0,1092.2731,0,0,0,0,0,0,0,0,
106,241.92603706408428,0.2233099,,,,,,,,,,,312.39328,0,0,0,0,0,0,0,0,0,
107,270.0733216468834,0.23453616,,,,,,,,,,,0,0,0,0,0,0,4394.359,0,0,0,
108,691.7650520280064,0.23474565,,,,,,,,,,,848.0021,1236.5083,0,0,0,3215.2437,0,767.4509,0,0,
109,565.7922060151998,0.2353807,,,,,,,,,,,912.7469,0,0,1462.6774,1162.4506,2019.5293,0,0,0,1305.0295,
110,435.82789203087026,0.23794778,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1574.6332,
111,527.158360256208,0.23794778,,,,,,,,,,,0,0,0,0,0,0,0,0,0,427.1897,
112,872.8013780433052,0.23794778,,,,,,,,,,,0,0,0,0,0,0,0,0,0,660.16736,
113,312.8554897301146,0.23851284,,,,,,,,,,,0,0,0,0,0,0,0,431.6324,0,0,
114,507.83341778334125,0.23851284,,,,,,,,,,,0,0,0,0,0,0,0,3552.2402,0,0,
115,579.7687925901737,0.23859496,,,,,,,,,,,2505.2524,0,0,1985.2732,0,0,0,0,0,2583.9111,
116,608.7854869051448,0.2386832,,,,,,,,,,,1291.3156,0,0,893.4065,0,0,0,0,0,0,
117,520.8056157453193,0.23872225,,,,,,,,,,,0,0,0,0,803.7628,1408.9441,0,2177.4368,0,0,
118,243.28761054966145,0.238789,,,,,,,,,,,860.4313,0,0,0,0,0,0,0,0,0,
119,481.8433939892304,0.24328704,,,,,,,,,,,0,1955.554,0,870.73145,0,0,0,0,4332.599,0,
120,563.79481824076,0.24356811,,,,,,,,,,,0,0,0,0,2020.594,0,0,2887.25,0,1076.1975,
121,332.86220058841894,0.24641407,,,,,,,,,,,1277.5966,1536.023,0,1999.042,1669.8588,793.72894,0,0,0,1203.5388,
122,326.9037902675343,0.24903984,,,,,,,,,,,2143.0688,946.03467,0,1572.7528,2570.3604,2002.5109,0,1357.1637,0,0,
123,675.7913749655918,0.24913724,,,,,,,,,,,2715.5466,0,0,0,2375.8298,1206.4288,0,0,0,0,
124,724.7890430853569,0.25004658,,,,,,,,,,,0,0,0,0,0,0,3276.597,0,0,0,
125,396.8654612385656,0.25335082,,,,,,,,,,,0,724.72,0,0,0,0,0,0,1202.7019,1363.04,
126,508.04230063159696,0.25392902,,,,,,,,,,,0,0,0,0,0,2486.8726,0,0,0,0,
127,220.0670949598807,0.25407746,,,,,,,,,,,0,0,0,765.16925,0,0,0,0,0,0,
128,548.8294985299241,0.25407746,,,,,,,,,,,0,0,0,8119.4253,0,0,0,0,0,0,
129,933.083696145676,0.25427866,,,,,,,,,,,377.9051,0,0,0,0,0,0,0,0,0,
130,435.82771990709585,0.2643212,,,,,,,,,,,3591.9038,0,0,2864.0085,1255.3206,1329.1862,0,0,2582.9707,2036.2458,
131,260.93201783074767,0.26820916,,,,,,,,,,,0,0,0,0,0,0,0,0,1130.55,0,
132,374.3082936463833,0.26820916,,,,,,,,,,,0,0,0,0,0,0,0,0,616.27094,0,
133,350.84987532711335,0.26972267,,,,,,,,,,,0,2688.6335,0,0,0,0,0,0,0,0,
134,467.77226912852467,0.26972267,,,,,,,,,,,0,988.49866,0,0,0,0,0,0,0,0,
135,334.875582469481,0.2699187,,,,,,,,,,,0,0,0,0,0,4530.623,0,0,0,0,
136,550.8471532997096,0.27299187,,,,,,,,,,,0,3017.8218,0,0,0,0,0,2795.1228,2656.783,3148.0964,
137,523.8078850822942,0.27513397,,,,,,,,,,,5769.9287,0,0,3531.3196,6498.819,0,0,0,0,0,
138,219.1603274400777,0.28022587,,,,,,,,,,,0,0,0,0,0,0,1323.9962,0,0,0,
139,222.02242382862386,0.28022587,,,,,,,,,,,0,0,0,0,0,0,3218.037,0,0,0,
140,767.4814123602326,0.28022587,,,,,,,,,,,0,0,0,0,0,0,855.3915,0,0,0,
141,523.8276395701703,0.28444576,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1106.2057,
142,377.87184030066044,0.284494,,,,,,,,,,,0,756.1559,0,0,0,0,0,0,1171.4443,0,
143,324.2386133064395,0.28525382,,,,,,,,,,,0,1355.9248,0,0,0,0,0,0,0,0,
144,466.0580418507051,0.28525382,,,,,,,,,,,0,311.06897,0,0,0,0,0,0,0,0,
145,592.8115586568841,0.28525382,,,,,,,,,,,0,781.4557,0,0,0,0,0,0,0,0,
146,361.8982856971875,0.2852804,,,,,,,,,,,0,0,0,822.2414,0,2158.9417,0,0,0,0,
147,664.7467658119942,0.29322207,,,,,,,,,,,0,0,0,2300.2485,0,570.7244,0,0,0,0,
148,536.7770687358377,0.2934081,,,,,,,,,,,1352.0261,0,0,0,978.46075,0,0,0,0,0,
149,718.784626779435,0.30065468,,,,,,,,,,,0,0,0,0,0,0,0,1457.3522,0,0,
150,579.7687782515783,0.30086344,,,,,,,,,,,1077.4404,0,0,1637.945,2824.8071,0,0,0,0,1309.2505,
151,633.8065774336369,0.30839908,,,,,,,,,,,1984.425,0,0,2188.3726,0,0,0,1884.627,0,3812.4844,
152,581.7661926627138,0.30874497,,,,,,,,,,,0,0,0,1004.62506,0,996.2369,0,0,0,0,
153,617.8328268516856,0.31132695,,,,,,,,,,,0,1766.4745,0,0,1052.1638,2749.9092,0,0,0,0,
154,566.8208404011436,0.31603417,,,,,,,,,,,0,2589.9712,0,0,1913.7308,518.38043,0,3027.3918,3091.089,2140.5845,
155,565.7923930887484,0.3167621,,,,,,,,,,,1150.3108,0,0,0,0,0,0,0,0,0,
156,608.7850113354231,0.32271296,,,,,,,,,,,1114.8973,3652.5527,0,875.24365,2720.4915,0,0,1594.7903,0,0,
157,216.1746178737751,0.32683843,,,,,,,,,,,0,0,0,0,0,0,1121.312,0,0,0,
158,239.85822873209935,0.3302883,,,,,,,,,,,0,0,0,0,0,0,0,0,546.5761,0,
159,419.85401358189057,0.3306081,,,,,,,,,,,0,0,6909.738,1589.1943,0,0,0,0,4554.824,0,
160,496.78813145337205,0.33068484,,,,,,,,,,,0,0,0,0,0,0,0,0,903.5123,1086.6082,
161,538.7734630001873,0.33215874,,,,,,,,,,,0,0,0,1223.2909,0,0,0,0,0,0,
162,380.87145580115777,0.33230785,,,,,,,,,,,1446.1,0,0,0,0,0,0,0,0,0,
163,622.7615914417169,0.3396939,,,,,,,,,,,0,948.6401,0,0,0,0,0,2304.783,0,0,
164,317.8855540490749,0.34233418,,,,,,,,,,,0,0,0,0,0,0,581.027,0,0,0,
165,321.09311518100446,0.34233418,,,,,,,,,,,0,0,0,0,0,0,2389.9358,0,0,0,
166,384.79181060771464,0.3466271,,,,,,,,,,,0,0,0,0,0,0,0,0,0,663.3507,
167,453.7950144628692,0.3466271,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1610.9033,
168,465.8694182277541,0.34736434,,,,,,,,,,,0,1056.217,0,0,0,0,0,0,0,0,
169,537.7839282838875,0.34761798,,,,,,,,,,,0,0,0,0,1472.7366,0,0,678.0255,0,0,
170,465.8691396519977,0.35083038,,,,,,,,,,,934.786,2192.6152,0,0,1880.6913,1582.6353,0,2477.3599,0,0,
171,467.77252569337475,0.35435656,,,,,,,,,,,0,684.15424,0,0,0,0,0,0,1000.5748,0,
172,592.8111817021542,0.35684705,,,,,,,,,,,3679.9238,1213.6304,0,2965.9038,0,1203.4905,0,0,0,657.40686,
173,504.8319189829551,0.35938394,,,,,,,,,,,2632.7283,0,0,0,1961.5824,1670.2407,0,1797.9875,0,0,
174,582.795109217605,0.361628,,,,,,,,,,,0,0,0,0,0,0,0,0,1404.8628,0,
175,377.8719402715142,0.36204523,,,,,,,,,,,0,0,0,0,0,0,0,0,1181.7869,1113.4626,
176,350.8500594295692,0.3632332,,,,,,,,,,,0,1612.4081,0,0,0,0,0,0,0,0,
177,370.81474585982335,0.3632332,,,,,,,,,,,0,633.38556,0,0,0,0,0,0,0,0,
178,241.92610116695244,0.36364338,,,,,,,,,,,902.84155,0,0,0,0,0,0,0,0,0,
179,481.8432747783688,0.36828277,,,,,,,,,,,0,1531.9946,0,0,0,603.3467,0,1726.1141,0,0,
180,435.8278655308788,0.3731114,,,,,,,,,,,0,0,0,0,2077.8271,3199.6733,0,0,1134.1906,0,
181,517.2694097028794,0.37335297,,,,,,,,,,,0,0,0,0,0,0,1087.8005,0,0,0,
182,762.1413043321713,0.37335297,,,,,,,,,,,0,0,0,0,0,0,1844.9358,0,0,0,
183,396.8653620889306,0.3775546,,,,,,,,,,,0,0,0,0,0,0,0,0,895.03516,2352.107,
184,361.8983766111737,0.37892497,,,,,,,,,,,0,0,0,0,0,2000.1807,0,0,0,0,
185,469.76953113228143,0.37904185,,,,,,,,,,,0,0,0,0,954.97296,0,0,0,0,0,
186,507.83364125791115,0.39409855,,,,,,,,,,,0,0,0,0,0,0,0,6904.787,0,0,
187,332.8623409276764,0.39433315,,,,,,,,,,,0,886.3804,0,0,0,0,0,0,0,0,
188,590.8136254095974,0.39433315,,,,,,,,,,,0,11163.705,0,0,0,0,0,0,0,0,
189,284.96830348989806,0.39450005,,,,,,,,,,,0,0,0,0,0,1415.946,0,0,0,0,
190,664.7465690265485,0.39450005,,,,,,,,,,,0,0,0,0,0,581.41144,0,0,0,0,
191,592.8116410172984,0.3947163,,,,,,,,,,,1331.9336,0,0,0,0,0,0,0,0,0,
192,445.99739777525207,0.40251338,,,,,,,,,,,2531.1252,0,0,0,0,919.2116,0,0,0,0,
193,208.0456398146241,0.40387183,,,,,,,,,,,0,0,0,0,0,0,2769.0806,0,0,0,
194,381.02609766593616,0.40387183,,,,,,,,,,,0,0,0,0,0,0,2075.974,0,0,0,
195,803.1625037538341,0.40387183,,,,,,,,,,,0,0,0,0,0,0,913.5775,0,0,0,
196,565.7923673486526,0.40459526,,,,,,,,,,,969.449,882.41046,0,1037.4471,1701.6462,0,0,1344.2991,0,786.158,
197,319.99656134640867,0.41513827,,,,,,,,,,,0,416.25946,0,0,1230.3037,470.31982,0,0,0,0,
198,675.7913505797513,0.41529322,,,,,,,,,,,0,618.79126,0,2899.633,1132.1721,0,0,0,0,0,
199,579.7687508874546,0.4162175,,,,,,,,,,,4323.5503,1306.149,0,2269.6233,2933.1233,0,0,0,0,2084.7568,
200,648.7720504644863,0.4177668,,,,,,,,,,,0,1850.717,0,0,1405.3607,0,0,0,0,0,
201,326.9036243386644,0.42168328,,,,,,,,,,,880.37744,0,0,0,4293.139,2702.3955,0,0,0,1708.359,
202,873.0524126084842,0.42345926,,,,,,,,,,,0,0,0,0,0,0,0,0,557.7716,0,
203,376.32417621357456,0.42457926,,,,,,,,,,,0,0,0,0,0,0,0,0,0,9111.776,
204,220.0670344951281,0.42534155,,,,,,,,,,,0,1004.5683,0,0,0,0,0,0,0,0,
205,452.80666546535844,0.42583302,,,,,,,,,,,3295.9143,0,0,0,0,0,0,0,0,0,
206,523.8076945932631,0.43278676,,,,,,,,,,,0,0,0,0,0,0,0,8555.721,0,3787.2703,
207,608.7854996277247,0.43339083,,,,,,,,,,,0,2183.7185,0,1037.1417,0,0,0,0,0,0,
208,633.8066034791631,0.43357533,,,,,,,,,,,0,0,0,5116.558,2944.555,0,0,0,0,0,
209,217.06414782976768,0.43494895,,,,,,,,,,,0,0,0,0,0,0,1653.6786,0,0,0,
210,691.7656702786823,0.43622097,,,,,,,,,,,3570.2566,0,0,2545.1304,0,1804.8754,0,0,0,0,
211,247.88476675920307,0.44069666,,,,,,,,,,,0,1274.7913,0,0,1612.1765,758.67786,0,0,1039.5168,0,
212,581.765861766074,0.4412858,,,,,,,,,,,0,0,0,2050.913,0,1192.007,0,0,0,0,
213,548.8294269515087,0.44138342,,,,,,,,,,,0,0,0,0,0,3375.1965,0,0,0,0,
214,332.8622406356511,0.4451856,,,,,,,,,,,0,1468.1113,0,1727.4277,1713.2124,1778.6023,0,0,0,0,
215,334.8753868106078,0.45656106,,,,,,,,,,,0,0,0,0,0,0,0,4863.2163,0,0,
216,465.86912276084126,0.45671663,,,,,,,,,,,0,3099.5054,0,0,0,0,0,0,0,0,
217,490.7710052390837,0.45696685,,,,,,,,,,,0,0,0,0,0,506.32516,0,0,0,0,
218,550.8471206351181,0.46127188,,,,,,,,,,,0,3679.4321,0,0,772.28406,0,0,0,1983.2817,0,
219,419.85364009503604,0.46429202,,,,,,,,,,,0,0,0,2958.7517,0,2325.996,0,2955.7085,0,2331.8013,
220,566.8207544688289,0.46440446,,,,,,,,,,,0,2253.8232,0,0,0,0,0,3449.7188,0,0,
221,536.7765772484299,0.4722145,,,,,,,,,,,0,1258.5707,0,0,0,0,0,0,0,0,
222,532.855280095122,0.4725319,,,,,,,,,,,0,0,0,3165.647,0,0,0,0,0,0,
223,537.7842390308244,0.4727101,,,,,,,,,,,1443.3475,0,0,0,0,0,0,0,0,0,
224,622.7614968439703,0.47589606,,,,,,,,,,,3358.2742,0,0,0,0,584.7384,0,1555.7856,0,1163.1268,
225,216.17467595334176,0.48186353,,,,,,,,,,,0,0,0,0,0,0,600.9034,0,0,0,
226,222.02241847385469,0.48186353,,,,,,,,,,,0,0,0,0,0,0,1492.8203,0,0,0,
227,435.8277171305546,0.48713833,,,,,,,,,,,0,2017.2136,0,0,1567.736,0,0,1700.0128,2120.8777,1483.0005,
228,295.89395834026067,0.49593464,,,,,,,,,,,837.15845,0,0,888.6718,0,0,0,0,0,0,
229,208.045733117566,0.4973428,,,,,,,,,,,0,0,0,0,0,0,1793.0476,0,0,0,
230,611.8149855875222,0.50329584,,,,,,,,,,,0,509.1117,0,0,0,0,0,0,0,0,
231,617.8329158516098,0.50353533,,,,,,,,,,,5305.9385,1932.1635,0,0,0,3456.6692,0,0,0,0,
232,592.8113430718902,0.511132,,,,,,,,,,,1120.9757,0,0,3088.302,3497.28,0,0,0,0,1191.8376,
233,563.7948726116788,0.51660526,,,,,,,,,,,0,0,0,0,0,0,0,0,2234.9097,0,
234,566.8208413889719,0.5188291,,,,,,,,,,,0,1452.1245,0,0,0,0,0,0,0,0,
235,669.7727576683117,0.5190648,,,,,,,,,,,0,0,0,0,0,789.9964,0,0,0,0,
236,767.4822227456048,0.53039205,,,,,,,,,,,0,0,911.6836,0,0,0,0,0,0,0,
237,606.7878280267724,0.5343646,,,,,,,,,,,0,4653.964,0,0,0,0,0,0,0,0,
238,675.7914016625814,0.5343646,,,,,,,,,,,0,1406.9631,0,0,0,0,0,0,0,0,
239,557.777151565879,0.5349319,,,,,,,,,,,0,0,0,689.0448,0,0,0,0,0,0,
240,564.8029873514791,0.5349319,,,,,,,,,,,0,0,0,2160.137,0,0,0,0,0,0,
241,548.8292433189808,0.5349627,,,,,,,,,,,0,0,0,0,0,5299.4985,0,0,0,0,
242,447.7776476024239,0.5351602,,,,,,,,,,,1520.1158,0,0,0,0,0,0,0,0,0,
243,592.8115841146857,0.5351602,,,,,,,,,,,1052.4136,0,0,0,0,0,0,0,0,0,
244,633.8063594072314,0.5424106,,,,,,,,,,,0,1751.1755,0,0,0,4439.424,0,0,0,0,
245,376.32415024174213,0.5429053,,,,,,,,,,,0,0,0,0,0,0,11133.138,0,0,0,
246,362.8995431941437,0.55006737,,,,,,,,,,,0,0,0,0,0,0,0,94163.73,0,0,
247,445.99733278698477,0.5503191,,,,,,,,,,,0,0,0,0,726.36426,1321.3871,0,0,0,0,
248,845.031896085622,0.5506874,,,,,,,,,,,603.22504,0,0,0,0,0,0,0,0,0,
249,691.7650591098642,0.5554959,,,,,,,,,,,1122.4026,1184.67,0,0,0,1428.7601,0,0,0,0,
250,269.95536509868384,0.5580578,,,,,,,,,,,0,0,0,518.1017,0,633.1309,0,0,0,0,
251,332.8620666336251,0.5582336,,,,,,,,,,,0,0,0,0,729.09735,638.4053,0,0,0,0,
252,445.7803165481373,0.5583616,,,,,,,,,,,1432.0916,0,0,0,421.2925,0,0,0,0,0,
