,feature_id,feature_id,rt,mz_measured,mz_calculated,mz_error(ppm),mol_formula,smiles,adduct,primary_annotated_name,structure_annotated_name,rt_score,mz_score,spec_score,total_score,fragments_level,fragments_ms2_spectrum_level,datafile:pos_hela_HG1.mzML:area,datafile:pos_hela_HG2.mzML:area,datafile:pos_hela_HG3.mzML:area,datafile:pos_hela_HG4.mzML:area,datafile:pos_hela_HG5.mzML:area,datafile:pos_hela_HG6.mzML:area,datafile:pos_hela_LG1.mzML:area,datafile:pos_hela_LG2.mzML:area,datafile:pos_hela_LG3.mzML:area,datafile:pos_hela_LG4.mzML:area,datafile:pos_hela_LG5.mzML:area,datafile:pos_hela_LG6.mzML:area,datafile:pos_hela_S1.mzML:area,datafile:pos_hela_S2.mzML:area,datafile:pos_hela_S3.mzML:area,datafile:pos_hela_S4.mzML:area,datafile:pos_hela_S5.mzML:area,datafile:pos_hela_S6.mzML:area
P,4599,P4599,5.652,764.54271,764.54361,1.177172876,C40H75O10P,CCCCCCC=CCCCCCCCCCC(=O)OC(CO)COP(=O)(O)OCC(CO)OC(=O)CCCCC=CCCCCCCCCC,[M+NH4]+,BMP 16:1_18:1,BMP 16:1(6)_18:1(11),0.793333333,0.261286667,0,0.105462,Some,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,4753,P4753,5.831,790.55853,790.55926,0.923396938,C42H77O10P,CCCCCCCCC=CCC=CCCCCC(=O)OC(CO)COP(=O)(O)OCC(CO)OC(=O)CCCCC=CCCCCCCCCCCC,[M+NH4]+,BMP 18:1_18:2,"BMP 18:1(6)_18:2(6,9)",0.752,0.71418,0,0.146618,Some,None,0,,,0,,,,,,,,,0,0,0,,0,0
P,4753,P4753,5.831,790.55853,790.55926,0.923396938,C42H77O10P,CCCCCCCCC=CCC=CCCCCC(=O)OC(CO)COP(=O)(O)OCC(CO)OC(=O)CCCCCCCC=CCCCCCCCC,[M+NH4]+,BMP 18:1_18:2,"BMP 18:1(9)_18:2(6,9)",0.752,0.71418,0,0.146618,Some,None,0,,,0,,,,,,,,,0,0,0,,0,0
P,4753,P4753,5.831,790.55853,790.55926,0.923396938,C42H77O10P,CCCCCC=CCC=CCCCCCCCC(=O)OC(CO)COP(=O)(O)OCC(CO)OC(=O)CCCCCCCC=CCCCCCCCC,[M+NH4]+,BMP 18:1_18:2,"BMP 18:1(9)_18:2(9,12)",0.711333333,0.626423333,0,0.133775667,Some,None,0,,,0,,,,,,,,,0,0,0,,0,0
P,5152,P5152,6.105,676.49094,676.49118,0.354771809,C36H70NO8P,CCCCCCCCC=CCCCCCCCCCC(=O)OC(COC(=O)CCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,[M+H]+,PC 8:0_20:1,PC 8:0_20:1(11),0.99,0.65712,0,0.164712,All,None,31600,0,,0,,0,,0,,22900,30700,36900,,0,,,,
P,5152,P5152,6.105,676.49094,676.49118,0.354771809,C36H70NO8P,CCCCCCC=CCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,[M+H]+,PC 8:0_20:1,PC 8:0_20:1(13),0.492,0.683,0,0.1175,Some,None,0,36800,,27800,,12700,,0,,0,0,0,,0,,,,
P,5415,P5415,6.316,766.55804,766.55926,1.591527314,C40H77O10P,CCCCCCC=CCCCCCCCCCC(=O)OC(CO)COP(=O)(O)OCC(CO)OC(=O)CCCCCCCCCCCCCCC,[M+NH4]+,BMP 16:0_18:1,BMP 16:0_18:1(11),0.567,0.45695,0,0.102395,All,None,,,0,,,,,,,0,,0,,0,0,0,0,0
P,5545,P5545,6.392,792.56984,792.57491,6.396871685,C42H79O10P,CCCCCCC=CCCCCCCCCCC(=O)OC(CO)COP(=O)(O)OCC(CO)OC(=O)CCCCCCCCCC=CCCCCCC,[M+NH4]+,BMP 18:1_18:1,BMP 18:1(11)_18:1(11),0.527,0.962125,0,0.1489125,All,None,11400,,,,,,,,,,,,,,,0,0,
P,5545,P5545,6.392,792.56984,792.57491,6.396871685,C42H79O10P,CCCCCCCCCCCC=CCCCCC(=O)OC(CO)COP(=O)(O)OCC(CO)OC(=O)CCCCCCCCCC=CCCCCCC,[M+NH4]+,BMP 18:1_18:1,BMP 18:1(11)_18:1(6),0.527,0.962125,0,0.1489125,Some,None,11400,,,,,,,,,,,,,,,0,0,
P,5545,P5545,6.392,792.56984,792.57491,6.396871685,C42H79O10P,CCCCCCCCC=CCCCCCCCC(=O)OC(CO)COP(=O)(O)OCC(CO)OC(=O)CCCCCCCCCC=CCCCCCC,[M+NH4]+,BMP 18:1_18:1,BMP 18:1(11)_18:1(9),0.529333333,0.65126,0,0.118059333,Some,None,11400,,,,,,,,,,,,,,,42700,0,
P,5763,P5763,6.565,778.53735,778.53813,1.001877712,C44H76NO8P,CCC=CCC=CCC=CCCCCCCCC(=O)OC(COC(=O)CCCCCCCC=CCC=CCC=CCC)COP(=O)([O-])OCC[N+](C)(C)C,[M+H]+,PC 18:3_18:3,"PC 18:3(9,12,15)_18:3(9,12,15)",0.5324,0.911246,0.451303702,0.505407562,All,Some,4493.861839,0,0,0,0,27127.72219,0,0,5125.4618,10096.44746,6398.710401,14367.89216,0,0,0,0,1275.92955,0
P,5763,P5763,6.565,778.53735,778.53813,1.001877712,C44H76NO8P,CCC=CCC=CCC=CCCCCCCCC(=O)OC(COC(=O)CCCCC=CCC=CCC=CCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,[M+H]+,PC 18:3_18:3,"PC 18:3(6,9,12)_18:3(9,12,15)",0.526,0.91450375,0.282064814,0.369702226,Some,Some,81500,73000,70000,69000,62500,41436.13891,45000,57500,52000,42149.38937,47950,48050,64500,61000,64500,54500,52000,50500
P,5763,P5763,6.565,778.53735,778.53813,1.001877712,C44H76NO8P,CCCCCC=CCC=CCC=CCCCCC(=O)OC(COC(=O)CCCCC=CCC=CCC=CCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,[M+H]+,PC 18:3_18:3,"PC 18:3(6,9,12)_18:3(6,9,12)",0.598,0.899184,0,0.1497184,All,None,77006.13816,73000,70000,69000,62500,41436.13891,45000,57500,46874.5382,33054.16318,41551.2896,33682.10784,64500,61000,64500,54500,50724.07045,50500
P,5905,P5905,6.701,710.47532,710.47553,0.295576682,C39H68NO8P,CCC=CCC=CCC=CCC=CCC=CCCCC(=O)OC(COC(=O)CCCCCCCCCCCCC)COP(=O)(O)OCCN,[M+H]+,PE 14:0_20:5,"PE 14:0_20:5(5,8,11,14,17)",0.58575,0.65371625,0,0.123946625,Some,None,21100,18100,17000,14500,11400,10200,7170,5970,8350,7920,5740,8050,18000,18500,15800,17600,15400,13200
P,6145,P6145,6.837,736.49076,736.49118,0.570271595,C41H70NO8P,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)OC(COC(=O)CCCCCCCCCCCCC)COP(=O)(O)OCCN,[M+H]+,PE 14:0_22:6,"PE 14:0_22:6(4,7,10,13,16,19)",0.663272727,0.810947273,0,0.147422,All,None,100000,86900,93900,80400,59200,43500,70100,63600,80900,73000,80400,81800,83800,81200,78100,71900,76000,73000
P,6171,P6171,6.848,778.53734,778.53813,1.014722298,C44H76NO8P,CCC=CCC=CCC=CCCCCCCCC(=O)OC(COC(=O)CCCCCCCC=CCC=CCC=CCC)COP(=O)([O-])OCC[N+](C)(C)C,[M+H]+,PC 18:3_18:3,"PC 18:3(9,12,15)_18:3(9,12,15)",0.587333333,0.902525,0.654498367,0.672584527,All,Some,217349.7564,117129.1152,194837.5635,79932.7957,134020.6186,97618.55133,31956.57895,51047.04301,34882.28626,8652.821655,34224.32432,28276.5032,0,111993.3425,98459.29495,28456.68121,100492.1316,79062.40464
P,6171,P6171,6.848,778.53734,778.53813,1.014722298,C44H76NO8P,CCC=CCC=CCC=CCCCCCCCC(=O)OC(COC(=O)CCCCC=CCC=CCC=CCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,[M+H]+,PC 18:3_18:3,"PC 18:3(6,9,12)_18:3(9,12,15)",0.659142857,0.899214286,0.524124901,0.575135635,Some,Some,33964.8078,89226.55278,22904.56853,89611.55914,41211.34021,50788.95258,6992.54386,3350.94086,8271.387599,19856.98749,10080.18018,16181.83369,116874.0708,55231.83865,79714.87446,101027.4863,69671.47874,67642.27952
P,6171,P6171,6.848,778.53734,778.53813,1.014722298,C44H76NO8P,CCCCCC=CCC=CCC=CCCCCC(=O)OC(COC(=O)CCCCC=CCC=CCC=CCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,[M+H]+,PC 18:3_18:3,"PC 18:3(6,9,12)_18:3(6,9,12)",0.7944,0.899274,0,0.1693674,All,None,111685.4358,147644.332,75257.86802,153455.6452,84768.04124,113592.4961,20650.87719,15502.01613,15446.32614,40390.19085,15995.4955,20741.66311,189125.9292,111774.8189,114825.8306,140515.8325,101836.3896,98295.31584
P,6248,P6248,6.94,766.5589,766.55926,0.469631011,C40H77O10P,CCCCCCCCC=CCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCC)COP(=O)(O)OCC(O)CO,[M+NH4]+,PG 16:0_18:1,PG 16:0_18:1(9),0.649,0.896435,0.162888785,0.284854528,All,Some,239432.4554,200602.4096,200246.6586,205706.0519,131395.6068,217577.1971,193000,324000,152642.0298,183727.5986,121113.1987,235000,208392.8571,283312.2229,205378.5478,191178.499,201159.3119,194056.9395
P,6248,P6248,6.94,766.5589,766.55926,0.469631011,C40H77O10P,CCCCCCCCCCCC=CCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCC)COP(=O)(O)OCC(O)CO,[M+NH4]+,PG 16:0_18:1,PG 16:0_18:1(6),0.638,0.81993,0,0.145793,All,None,0,0,0,0,0,0,0,0,0,49272.40143,69886.80132,0,0,0,0,0,0,28824.83195
P,6248,P6248,6.94,766.5589,766.55926,0.469631011,C40H77O10P,CCCCCCC=CCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCC)COP(=O)(O)OCC(O)CO,[M+NH4]+,PG 16:0_18:1,PG 16:0_18:1(11),0.36,0.95316,0.010185885,0.139464708,All,Some,136567.5446,132397.5904,90753.34143,209293.9481,197604.3932,182422.8029,0,0,49357.97022,0,0,0,91607.14286,61687.77707,121621.4522,75821.50101,124840.6881,64118.22855
P,6289,P6289,6.964,736.49131,736.49118,0.176512637,C41H70NO8P,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)OC(COC(=O)CCCCCCCCCCCCC)COP(=O)(O)OCCN,[M+H]+,PE 14:0_22:6,"PE 14:0_22:6(4,7,10,13,16,19)",0.767,0.7596975,0,0.15266975,All,None,0,4490,0,0,3110,0,,,0,4400,7060,0,0,0,0,0,0,0
P,6361,P6361,6.979,826.53452,826.53813,4.367614595,C48H76NO8P,CCC=CCC=CCC=CCC=CCC=CCCCC(=O)OC(COC(=O)CCCC=CCC=CCC=CCC=CCC=CCC)COP(=O)([O-])OCC[N+](C)(C)C,[M+H]+,PC 20:5_20:5,"PC 20:5(5,8,11,14,17)_20:5(5,8,11,14,17)",0.725428571,0.708655714,0.053581136,0.186273337,Some,Some,31900,32400,29700,27900,31700,27200,0,9710,8890,8140,10500,9390,27400,28200,28300,28100,25900,25600
P,6395,P6395,7.009,780.55088,780.55378,3.715310942,C44H78NO8P,CCCCCC=CCC=CCC=CCC=CCC=CCCCCCCCCC(=O)OC(COC(=O)CCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,[M+H]+,PC 8:0_28:5,"PC 8:0_28:5(10,13,16,19,22)",0.604666667,0.822454444,0.336886694,0.412221467,All,Some,0,0,0,0,0,0,20426.87715,24196.96312,15022.41403,11416.85276,12627.9038,0,0,0,0,0,0,0
P,6395,P6395,7.009,780.55088,780.55378,3.715310942,C44H78NO8P,CCC=CCC=CCC=CCC=CCC=CCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,[M+H]+,PC 8:0_28:5,"PC 8:0_28:5(13,16,19,22,25)",0.641333333,0.899358889,0.176571442,0.295326376,All,Some,0,0,0,0,0,0,3873.122846,11103.03688,17577.58597,10683.14724,14472.0962,0,0,0,0,0,0,0
P,6524,P6524,7.117,704.52187,704.52248,0.865834686,C38H74NO8P,CCCCCCC=CCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,[M+H]+,PC 14:0_16:1,PC 14:0_16:1(9),0.997,0.92696,0.492307689,0.586242151,All,Some,533519.2069,581513.7675,509188.5373,353799.448,301174.1094,340930.9791,311536.283,233619.7183,354316.4338,410214.3183,367764.1317,449584.5066,405866.4789,577104.2693,457293.4656,388398.5385,535142.3181,547217.3092
P,6524,P6524,7.117,704.52187,704.52248,0.865834686,C38H74NO8P,CCCCCCCCC=CCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,[M+H]+,PC 14:0_16:1,PC 14:0_16:1(7),0.805,0.90425,0,0.170925,All,None,459231.7224,502076.2104,456941.3656,0,291379.8294,0,75890.23853,0,96355.36023,0,102904.3485,96568.91697,402778.3644,418606.3967,361578.5342,263131.6282,422385.3663,376474.6287
P,6524,P6524,7.117,704.52187,704.52248,0.865834686,C38H74NO8P,CCCCCCCCCC=CCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,[M+H]+,PC 14:0_16:1,PC 14:0_16:1(6),0.677,0.892835,0,0.1569835,All,None,4457249.071,4826410.022,4173870.097,2516200.552,1847446.061,2059069.021,1592573.479,1476380.282,2529328.206,2189785.682,2429331.52,2793846.576,2951355.157,4144289.334,3421128,2768469.833,3462472.316,3396308.062
P,6704,P6704,7.248,830.56923,830.56943,0.240798653,C48H80NO8P,CCC=CCC=CCC=CCC=CCCCCCCC(=O)OC(COC(=O)CCCC=CCC=CCC=CCC=CCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,[M+H]+,PC 20:4_20:4,"PC 20:4(5,8,11,14)_20:4(8,11,14,17)",0.8302,0.806272,0.529508047,0.587253638,Some,Some,42580.99394,45556.20381,39525.82751,26019.79242,45700.38911,31333.38714,18823.97122,20515.36646,17193.99415,12892.37379,18602.86304,19005.41574,41392.77047,33730.30699,22666.50397,33888.0738,13695.91362,32912.7342
P,6704,P6704,7.248,830.56923,830.56943,0.240798653,C48H80NO8P,CCCCCC=CCC=CCC=CCC=CCCCC(=O)OC(COC(=O)CCCC=CCC=CCC=CCC=CCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,[M+H]+,PC 20:4_20:4,"PC 20:4(5,8,11,14)_20:4(5,8,11,14)",0.8205,0.83259625,0.380295213,0.469545795,All,Some,57562.64237,52508.75146,41775.97641,47012.63175,38810.31128,37980.14688,20321.07038,22811.40962,20428.14215,12971.85822,21129.24906,21575.82032,41795.71678,37051.07773,36365.26337,35804.87566,29727.97232,33005.87466
P,6704,P6704,7.248,830.56923,830.56943,0.240798653,C48H80NO8P,CCC=CCC=CCC=CCC=CCCCCCCC(=O)OC(COC(=O)CCCCCCC=CCC=CCC=CCC=CCC)COP(=O)([O-])OCC[N+](C)(C)C,[M+H]+,PC 20:4_20:4,"PC 20:4(8,11,14,17)_20:4(8,11,14,17)",0.77725,0.7892225,0.364817601,0.448501331,All,Some,32856.36369,26935.04473,17298.19608,36967.57583,23489.29961,46686.46598,6454.958399,5773.223921,8477.863696,18535.76799,7867.887905,8318.763938,20811.51275,23718.61528,27768.23266,22207.05054,44776.11406,14781.39114
P,6737,P6737,7.257,732.54398,732.55378,13.37785739,C40H78NO8P,CCCCCCCCC=CCCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,[M+H]+,PC 8:0_24:1,PC 8:0_24:1(15),0.796,0.895155,0.473466144,0.547888416,All,Some,367000,434000,378000,210000,314000,103000,268000,258000,373000,358000,412000,448000,441000,329000,291000,298000,262000,322000
P,6747,P6747,7.258,730.53746,730.53813,0.917132142,C40H76NO8P,CCCCCCC=CCCCCCCCC(=O)OC(COC(=O)CCCCCCCC=CCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,[M+H]+,PC 16:1_16:1,PC 16:1(9)_16:1(9),0.852,0.895125,0.450206029,0.534877323,All,Some,988992.8602,1052389.045,1020298.137,1049537.474,447910.0475,750843.3735,784082.4637,729299.3631,1077345.412,985388.5307,1203168.228,1289843.559,826972.4572,808530.0207,791198.0082,712108.3394,806939.5604,1363435.427
P,6747,P6747,7.258,730.53746,730.53813,0.917132142,C40H76NO8P,CCCCCCC=CCCCCCCCC(=O)OC(COC(=O)CCCCCC=CCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,[M+H]+,PC 16:1_16:1,PC 16:1(7)_16:1(9),0.874,0.881435,0.244957727,0.371509682,All,Some,1272014.28,1385221.909,1339403.727,1510925.052,608458.8405,1077048.193,851835.0725,831401.2739,1185309.176,1089222.939,1283663.544,1355357.422,1156055.086,1112939.959,1087603.984,985783.3212,1036120.879,1641269.35
P,6747,P6747,7.258,730.53746,730.53813,0.917132142,C40H76NO8P,CCCCCCC=CCCCCCCCC(=O)OC(COC(=O)CCCCC=CCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,[M+H]+,PC 16:1_16:1,PC 16:1(6)_16:1(9),0.841,0.885255,0.225103015,0.352707912,All,Some,988992.8602,1052389.045,1020298.137,1049537.474,403631.112,642108.4337,784082.4637,729299.3631,1077345.412,985388.5307,1203168.228,1264799.019,826972.4572,808530.0207,791198.0082,712108.3394,806939.5604,1305295.223
